group,predictor,OR,ci_lo,ci_hi,p,coef,n
antihistamine/mast-cell,func_severe,0.44545689099183716,0.18803324433863194,1.0553019091387614,0.06611488570141867,-0.808654802203773,297
antihistamine/mast-cell,dysautonomia,0.7022338962810781,0.37744812744722334,1.3064906386508863,0.2644392680371307,-0.35348874486473564,297
antihistamine/mast-cell,pem,0.8043224246444763,0.4454766303428591,1.4522300805949324,0.47009214945271216,-0.2177550645152668,297
antihistamine/mast-cell,eds_any,0.9265985027462588,0.36527056320055545,2.3505446969735524,0.8724777964920489,-0.07623492185859071,297
antihistamine/mast-cell,nfields_z,1.0255489575138719,0.7960647518198172,1.3211873303691317,0.8452322351980723,0.02522803753106848,297
antihistamine/mast-cell,func_bedbound,1.0613414862729411,0.500232369969404,2.251844978670518,0.8767266596244905,0.05953366107435345,297
antihistamine/mast-cell,pots,1.0734762324287137,0.575114665157554,2.0036895099408674,0.8237922635330839,0.07090219782957212,297
antihistamine/mast-cell,me_cfs,1.1345953241633397,0.5796235512936634,2.2209355481504685,0.712508702372766,0.1262760447695795,297
antihistamine/mast-cell,fibromyalgia,1.2845493866403557,0.408790604216024,4.03646050007094,0.668175766959457,0.2504079849722136,297
antihistamine/mast-cell,mcas,1.3702504684598418,0.778564476358773,2.411600327689751,0.27477738265649376,0.314993546823134,297
antihistamine/mast-cell,func_housebound,1.4732840889230696,0.5914097713903759,3.670155806812226,0.40536289847181406,0.3874939830550378,297
antihistamine/mast-cell,const,,,,,0.6318128621962154,297
autonomic/cardiovascular,pem,0.4297628728287408,0.18964635397231816,0.9738975888193014,0.04303896762990878,-0.8445216809415244,198
autonomic/cardiovascular,mcas,0.4336645320986772,0.20217667909608367,0.9302008878629742,0.03188938712298439,-0.8354840112897233,198
autonomic/cardiovascular,dysautonomia,0.8316729430392814,0.36788749099265494,1.8801397196661667,0.6578416145950245,-0.1843160127524853,198
autonomic/cardiovascular,me_cfs,1.9941847397683403,0.793941682270564,5.00889783863205,0.14185756438596112,0.6902353150757548,198
autonomic/cardiovascular,pots,2.442182208397762,1.1096280338694355,5.375002935187516,0.026526423498960814,0.892891987318494,198
autonomic/cardiovascular,const,,,,,1.5232204866156194,198
neuro-psychiatric,small_fiber_neuropathy,0.4201642332354636,0.1072778845583222,1.6456139456624834,0.2131853909456597,-0.8671096126246122,196
neuro-psychiatric,func_severe,0.4246873001027023,0.16582331790379937,1.0876594748463317,0.07428730555276324,-0.8564021453294653,196
neuro-psychiatric,eds_any,0.46371503181647744,0.14301041485715044,1.5036081878885983,0.20040419464549386,-0.768485070994602,196
neuro-psychiatric,mcas,0.8085938794152043,0.40663367286784896,1.6078945386311254,0.544653638531087,-0.21245849116448492,196
neuro-psychiatric,dysautonomia,0.8393902867393188,0.34655658705442344,2.033076501188156,0.698088643035714,-0.17507949982065096,196
neuro-psychiatric,pem,0.8995780712997147,0.46282113561861765,1.7484955722293543,0.7549589842269617,-0.10582943525041942,196
neuro-psychiatric,me_cfs,0.9831633871816778,0.4611527515738247,2.0960738987151153,0.9649359005437681,-0.016979959847521996,196
neuro-psychiatric,func_housebound,1.1933871487819587,0.3946956759946721,3.608280945284938,0.7541442962292759,0.1767956074723298,196
neuro-psychiatric,pots,1.3585190994842729,0.6774130703471769,2.7244442489391227,0.3881466248330818,0.3063952090303912,196
neuro-psychiatric,fibromyalgia,1.5542493340066221,0.46956561246841605,5.144522784709905,0.4702230028765425,0.44099268566898553,196
neuro-psychiatric,const,,,,,0.5214056733408741,196
LDN/immunomodulator,func_severe,0.35337435218323254,0.14367410141785356,0.8691436490543586,0.02348866453585162,-1.040227296197562,295
LDN/immunomodulator,dysautonomia,0.513039081697912,0.2654370783597415,0.9916063760795123,0.04714066548049515,-0.6674032540661161,295
LDN/immunomodulator,eds_any,0.7238395509098151,0.28592054701037833,1.8324800401361314,0.49527139395192754,-0.32318552592205024,295
LDN/immunomodulator,func_bedbound,0.7254574381215945,0.3505741696394953,1.5012186866680548,0.38703725776739517,-0.3209528739589463,295
LDN/immunomodulator,func_housebound,0.7434138574827718,0.3178612191493355,1.7386964190739036,0.49398885901113576,-0.29650238061102596,295
LDN/immunomodulator,me_cfs,0.7548654999923836,0.3889732202704018,1.464938698562922,0.4058071174331398,-0.2812156913083955,295
LDN/immunomodulator,nfields_z,0.8412540604836455,0.6426260533149668,1.1012756028634834,0.20841269019714836,-0.17286157130837496,295
LDN/immunomodulator,mcas,0.8896887091210423,0.48999694607344363,1.6154100662880968,0.7009258887606813,-0.11688364247054393,295
LDN/immunomodulator,pem,1.4865974414954561,0.8521446639082204,2.5934234486961003,0.16258062586575261,0.3964899122632162,295
LDN/immunomodulator,pots,1.5072681285150626,0.7673150319770817,2.9607880942767135,0.23361908002291698,0.4102988258586287,295
LDN/immunomodulator,fibromyalgia,4.960307080225365,1.3487637943782025,18.24236862873158,0.015941575488901526,1.6014676501561675,295
LDN/immunomodulator,const,,,,,0.8936659179611666,295
antiviral/anticoagulant,mcas,0.6995250512362113,0.3099231325585316,1.5788924604219694,0.38959009836304603,-0.3573536724568137,137
antiviral/anticoagulant,me_cfs,0.9399564110425885,0.36744473872179184,2.404492326474738,0.8971892992269543,-0.06192177602455504,137
antiviral/anticoagulant,pots,0.9638365104642104,0.37884544781099116,2.452136680727127,0.9383761240139231,-0.03683359370858049,137
antiviral/anticoagulant,dysautonomia,1.2974121590018417,0.5013995510921562,3.3571595879160196,0.5914271463998835,0.2603716335748865,137
antiviral/anticoagulant,pem,1.3495488199115637,0.5931261837524706,3.0706484846144817,0.47481624135478384,0.2997703291176587,137
antiviral/anticoagulant,const,,,,,0.6296184838963704,137
supplement/mitochondrial,func_severe,0.3542023014590761,0.15896392145600685,0.7892310985397211,0.011117084902101266,-1.0378870560286633,407
supplement/mitochondrial,me_cfs,0.5020483420818824,0.2732279606391832,0.922499063410351,0.02642938286444349,-0.6890588649589626,407
supplement/mitochondrial,dysautonomia,0.6495793994655352,0.34643618821233235,1.217983024196618,0.17858151871337635,-0.4314302032829454,407
supplement/mitochondrial,func_housebound,0.7066747099970466,0.31942637756160625,1.5633935730717639,0.3914627468624867,-0.34718481797767153,407
supplement/mitochondrial,eds_any,0.7895277923435347,0.3423706911258973,1.8206994670978842,0.5793417811135286,-0.23632024344430388,407
supplement/mitochondrial,mcas,0.8626053463892319,0.4913598600022333,1.514344260062075,0.6067432731344126,-0.14779799679405678,407
supplement/mitochondrial,func_bedbound,0.904640556621745,0.43159511722609417,1.8961626395235356,0.7906871219246726,-0.10021758918069011,407
supplement/mitochondrial,pem,0.9569377448417371,0.5338575890225116,1.7153073522462847,0.8824814359807102,-0.044016942057160675,407
supplement/mitochondrial,nfields_z,1.0344173844417617,0.802930862500465,1.3326419187613627,0.7934711786758598,0.03383835463916039,407
supplement/mitochondrial,pots,1.2633714090328403,0.6850466262271014,2.3299250825483155,0.4540730626266568,0.23378386904817938,407
supplement/mitochondrial,const,,,,,1.4611503737145726,407
peptide/experimental,pem,0.2661044440751952,0.07997709107087062,0.8853982335243973,0.030895916920850478,-1.3238664003668292,65
peptide/experimental,me_cfs,0.3962066432907518,0.10690415394153338,1.4684153833122169,0.1660015494669137,-0.9258193773399565,65
peptide/experimental,mcas,1.968166822915339,0.5553856107316278,6.974758740547368,0.2942119879028925,0.6771025627790138,65
peptide/experimental,const,,,,,1.0029406488294472,65
metabolic,pots,0.377731782114663,0.12043094111234011,1.1847561590208255,0.09506246001368725,-0.9735709063525213,102
metabolic,pem,0.5603003058262758,0.21116020034017308,1.4867216085383301,0.24464150684541675,-0.5792823785851043,102
metabolic,mcas,1.0795681739351195,0.38845237591817894,3.00028398441073,0.8832852240300244,0.07656112223025846,102
metabolic,dysautonomia,2.5731381235115487,0.76122415934076,8.697884481757027,0.12827922997292657,0.9451262137521199,102
metabolic,const,,,,,0.7757588734655302,102
procedure/device,func_severe,0.5420006645288262,0.19903307775461287,1.4759592911077357,0.23079941555352745,-0.6124880514752974,277
procedure/device,func_housebound,0.5461080913047939,0.22797343026685907,1.3081965167583829,0.17470895391294172,-0.6049383534078928,277
procedure/device,me_cfs,0.5827277517927639,0.2929786063898064,1.1590321794952185,0.12373275826783037,-0.5400351797568625,277
procedure/device,eds_any,0.6638100429477625,0.23663677571989097,1.8621102817928183,0.436209038202815,-0.4097592503323115,277
procedure/device,pots,0.6888294234368355,0.36097519764697283,1.3144558897267007,0.2582083517397392,-0.37276160982852646,277
procedure/device,mcas,0.8163423701391647,0.43004771749246623,1.549630048428529,0.5349113054877475,-0.2029214407644576,277
procedure/device,pem,0.9338045750136891,0.5265145864566491,1.6561573159536627,0.8147750077030718,-0.06848809710659633,277
procedure/device,func_bedbound,0.9920333876033965,0.4780437430734095,2.058661485228864,0.9828679683831822,-0.00799851540538101,277
procedure/device,nfields_z,1.061532117718625,0.8021610311464881,1.4047683609581965,0.6761316181961907,0.05971325862160074,277
procedure/device,dysautonomia,1.5635558150712663,0.7711246918011185,3.1703131968619265,0.2152295262030235,0.4469625960769515,277
procedure/device,const,,,,,0.33656025843081033,277
